ID,SMILES,LogP
0,C1(=O)C(C2N1C(C(=COC(C)=O)CS2)C(=O)O)NC(COC=3C=CC=CC=3)=O,1.387
1,N(=C1NC(=C(S1)C(OCC)=O)C)CCN=C2NC(=C(S2)C(OCC)=O)C,6.19
2,C1CN(CCN1CCCCN2C(CC3(CC2=O)CCCC3)=O)C4=NC=CC=N4,3.987
3,C1(=COC(=O)N)C2=C(C(NC=3C=NC=CC=3)=C(C)C(=C2N4C1(OC)C5C(C4)N5)O)O,1.761
4,FC(F)(F)C=1C=CC=C(OC2=NC=CC=C2C(NC3=CC=C(C=C3F)F)=O)C=1,6.067
5,FC(F)(F)C1=CC(=CC=C1)C(N(SN(C)C(=O)ON=C(C)SC)C)=O,3.893
6,C1CN(CCN1C(NC2=CC=C(C=C2)OC=3C=CC=CC=3)=S)C(C4OCCC4)=O,5.54
7,CN(C)C(N(C)C)=S(I)C=1C=CC=C(C(OC)=O)C=1,0.821
8,FC(F)(F)C(C1=CN(CC(=O)N2CCCCCC2)C3=CC=C(Br)C=C13)=O,6.403
9,C=1(N2C=3NC=C(C(OCC)=O)C(C=3C(C)=N2)=NC=4C=CC(=CC=4)O)C=CC=CC=1,3.141
10,N(C1=CC=C(F)C(F)=C1)C(=O)C=2SC=3C(=CC=C(N=3)C=4C=CC=C(C=4)OC)C=2N,7.34
11,C1C(C)OC(CN1C(=O)C2=CC(C3=CC=C4OCOC4=C3)=NC=5C=CC=CC2=5)C,5.72
12,C1(=CC=C([N+]([O-])=O)C=C1)C(NC=2C=CC(=CC=2)C3(CN4N=CN=C4)OCC(O3)CC)=O,3.014
13,CN(C)C(N(C)C)=S(I)C1=C(C=CC=C1Cl)Cl,1.137
14,CC(C)C(C(=O)N)NC(C(NC(=O)C(NC(=O)C)CCCCN)CC=1C=CC=CC=1)=O,1.681
15,CC(C)NC(=O)C1(O)C2(C(CC1C)C3C(C(O)C2)(C4(C(CC(=O)C=C4)=CC3)C)F)C,3.725
16,CC(C)N(C(C=1C(=CC=CC=1)CCC2=CC=CC=C2)=O)CC3=NC(=NO3)C4=CC=CC=C4,8.16
17,C1COCCN1C(CSC=2N(C(C=3C(=CC=CC=3)F)=NN=2)CCC=4C=CC=CC=4)=O,5.226
18,C1(Cl)=CC=CC=C1C=2C=3C=C(SC=3N4C(=NN=C4CN=2)C)Br,3.725
19,C=1C=2C(C(OC(=O)C(CC)C)CC(C)C=2)C(CCC3OC(=O)CC(O)C3)C(C)C=1,6.053
20,C1CCCCCN1C2=NC=3N(C)C(=O)N(C(=O)C=3N2CC(=O)C4=CC=C(C=C4)OC)C,5.846
21,O(N=C(SC)C)C(N(SN(CC1=CC=CC=C1)CCC(=O)OCC)C)=O,4.409
22,FC(F)(F)C1=CC=C(N2CCCN(CC2)C(=O)C=3SC4=CC=CC=C4C=3)N=C1,6.951
23,CC(C)CC(C(=O)N)NC(C(CC1=CC=CC=C1)NC(C(NC(C)=O)CCCN)=O)=O,1.899
24,C1(=O)C(C2N1C(C(=CSC)CS2)C(=O)O)NC(CC3=CC=CS3)=O,2.169
25,C1CC2(C(CCC23OC(=O)CC3)C4C(C(OC)=O)=CC5CC(CCC5(C14)C)=O)C,3.559
26,N(C(N(N=O)CC=C)=O)(CCCC(NC(=O)C)C(NCC1=CC=CC=C1)=O)CCC,3.422
27,C1CN(CCC1)C2=CC=C(NC(=O)C=CC3=CC=C(OC(F)F)C(OC)=C3)C=C2,6.316
28,OC=1C(=CC(=C(Cl)C=1CC2=C(Cl)C(=CC(Cl)=C2O)Cl)Cl)Cl,9.193
29,C12(C3OC=4C5=C(CC6C(C=C1)(C35CCN6C)CC2C(CCC)(O)C)C=CC=4O)OC,3.952
30,CC(C)(C)OC(C1C(C)=NC(=S)NC1C2=CC=C(C=3C=CC(C(=O)C)=CC=3)O2)=O,5.466
31,C=1C(=CC=CC=1)CC(=O)OCC(CC2=CN=CN2C)C(CC)C(=O)OCC=3C=CC=CC=3,6.294
32,ClC(Cl)C1(C2(C(Cl)Cl)CC(C1C(C2Cl)Cl)Cl)CCl,6.725
33,C=1C2(C)C3(C(CC4(C(CC(C4(O)C(=O)CO)C)C3CC=C2CC(=O)C=1)C)O)F,3.115
34,CC(C)(C)NC(=O)C(NC(=O)C(NC(=O)C(C)NC(C)=O)CCC(O)=O)C,0.854
35,C=1C=C(C(=CC=1OC)CN(C(C)=O)C=2C(=CC=C(C=2)F)OC3=CC=CC=C3)OC,4.801
